scene,dynamic,cf_ms,pruned_ms,speedup,abs_l1,psnr,rf_pruned,rf_cf,pass_speed,pass_quality
cbox,orbit_only,268.996,251.774,1.0684,0.009125,48.530,4,12,1,1
cbox,fov_sweep,253.121,128.201,1.9744,0.011523,47.924,4,12,1,1
cbox,roughness_orbit,317.839,207.554,1.5314,0.007151,48.511,4,12,1,1
cbox,specular_orbit,320.750,196.327,1.6338,0.008070,48.681,4,12,1,1
cbox,irradiance_orbit,318.090,197.281,1.6124,0.007228,48.566,4,12,1,1
cbox,roughness_fast,317.964,262.606,1.2108,0.003392,74.075,8,12,1,1
cbox,combined,318.832,274.571,1.1612,0.008452,71.714,8,12,1,1
veach-mis,orbit_only,224.136,91.620,2.4464,0.004289,51.483,4,12,1,1
veach-mis,fov_sweep,225.866,91.302,2.4738,0.004330,51.310,4,12,1,1
veach-mis,roughness_orbit,275.325,141.081,1.9515,0.004534,50.722,4,12,1,1
veach-mis,specular_orbit,276.528,143.425,1.9280,0.004056,51.567,4,12,1,1
veach-mis,irradiance_orbit,280.756,145.761,1.9261,0.003432,51.366,4,12,1,1
veach-mis,roughness_fast,280.473,208.595,1.3446,0.002100,75.115,8,12,1,1
veach-mis,combined,275.828,142.038,1.9419,0.004582,49.588,4,12,1,1
shader-ball,orbit_only,429.699,208.955,2.0564,0.026479,48.807,4,12,1,1
shader-ball,fov_sweep,429.616,209.365,2.0520,0.028034,48.550,4,12,1,1
shader-ball,roughness_orbit,614.255,399.253,1.5385,0.018824,48.493,4,12,1,1
shader-ball,specular_orbit,636.851,391.722,1.6258,0.026285,48.818,4,12,1,1
shader-ball,irradiance_orbit,616.127,402.421,1.5311,0.019846,48.805,4,12,1,1
shader-ball,roughness_fast,616.417,504.528,1.2218,0.007126,74.300,8,12,1,1
shader-ball,combined,615.001,516.333,1.1911,0.022501,72.198,8,12,1,1
cbox-bunny,orbit_only,272.390,149.111,1.8268,0.012001,45.509,4,12,1,1
cbox-bunny,fov_sweep,275.825,142.943,1.9296,0.013632,46.446,4,12,1,1
cbox-bunny,roughness_orbit,356.176,221.760,1.6061,0.013181,49.516,4,12,1,1
cbox-bunny,specular_orbit,356.448,223.711,1.5933,0.011851,42.165,4,12,1,1
cbox-bunny,irradiance_orbit,356.128,223.641,1.5924,0.009647,45.325,4,12,1,1
cbox-bunny,roughness_fast,360.015,298.346,1.2067,0.006675,74.231,8,12,1,1
cbox-bunny,combined,360.424,311.348,1.1576,0.011303,73.014,8,12,1,1
crystals,orbit_only,152.687,58.528,2.6088,0.032778,46.862,4,12,1,1
crystals,fov_sweep,154.002,58.860,2.6164,0.019480,49.344,4,12,1,1
crystals,roughness_orbit,170.300,76.991,2.2119,0.029734,47.281,4,12,1,1
crystals,specular_orbit,172.323,78.286,2.2012,0.020742,47.535,4,12,1,1
crystals,irradiance_orbit,174.291,76.347,2.2829,0.024698,46.829,4,12,1,1
crystals,roughness_fast,170.940,125.743,1.3594,0.011505,73.408,8,12,1,1
crystals,combined,172.569,134.046,1.2874,0.012429,73.348,8,12,1,1
